текст;категория;;;;;;;;;
Ответ[4]: обзорная статья Вероника Викторовна, здравствуйте! Я хотел уточнить, было ли получено мое предыдущее письмо с дипломной работой моего аспиранта или оно было где-то спамом. С уважением, Каширина И.Л.;Вопросы;;;;;;;;;
"Осенние вебинары НЭИКОН Откройте письмо в браузере (https://mailchi.mp/neicon.ru/qni4nkb6hd715179?e=695398c2c8) https://neicon.ru/ Уважаемые коллеги! Приглашаем вас принять участие в серии вебинаров, посвященных работе с научными журналами. Спикеры, являющиеся признанными экспертами отрасли, расскажут о рецензировании, соблюдении этических норм, критериях оценки журналов в Международной научной библиотеке, соблюдении международных издательских стандартов, работе со статьями и аналитическими текстами на английском языке. Вебинары пройдут в сентябре и октябре, участие в них бесплатное. 1. Публикация рецензий в РИНЦ: зачем это нужно и как это сделать 11 сентября, 12.0013.00 Вебинар будет посвящен новым рекомендациям РИНЦ по публикации рецензий на научные статьи. Заместитель директора Электронной библиотеки Виктор Глухов и аналитик «Элпаб» Алексей Викулин обсудят преимущества учета рецензий в деятельности ученого, варианты публикации рецензий в РИНЦ, действия редакции по поводу передачи рецензий. РИНЦ. Спикеры: Глухов Виктор Алексеевич, заместитель генерального директора научной электронной библиотеки eLibrary.ru, Викулин Алексей Сергеевич, аналитик ООО «Издательство «Ваш Цифровой». Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/0Rd7B2 2. Этика научных журналов с точки зрения требований международных наукометрических баз данных 12 сентября 11.0013.00 В последнее время международные базы данных Scopus и WoS сосредоточили внимание на этических аспектах журнальной политики, а внимание к прозрачности своей деятельности расширяет требования к принимаемым журналам и усиливает контроль за поведением индексируемых журналов. На вебинаре будут рассмотрены международные стандарты, на которых основывается MNDB при выборе журналов, а затем отслеживание их поведения по данным MNDB; Примеры неэтичного поведения недобросовестных журналов, в т.ч. Помимо попадания в МНБД, наблюдается рост «хищнической деятельности» через компании-посредники. Докладчик: Кириллова Ольга Владимировна, кандидат технических наук, президент Ассоциации научных редакторов и издателей, научный редактор и главный редактор журнала «Издательство». Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/9knyta 3. Информация на английском языке в научном журнале: стандарты качества и вопросы подачи 19 сентября 11.0013.00 Общий комментарий МНБД При оценке заявки экспертам журналов Качество резюме, информации об авторах, материалов сайта и другой информации, доступной на английском языке, неудовлетворительное. На вебинаре будут обсуждаться следующие вопросы повышения качества англоязычной составляющей научного журнала: * Международные стандарты представления метаданных научной статьи на английском языке (аннотация автора, ключевые слова, принадлежность, благодарности) * Английская версия сайта журнал *научные тексты Критерии оценки качества их перевода на английский язык *подходы к организации процесса подготовки информации на английском языке в научном журнале Докладчик: Попова Наталья Геннадьевна, к.т.н. наук, заведующий отделением Физико-психологического института Уральского отделения РАН (Екатеринбург), переводчик, автор научных трудов и учебников по академическому английскому языку, эксперт Российского экспертного совета SCOPUS, Посол DOAJ в России , редактор англоязычного журнала «Меняющиеся общества и личности» (Scopus), входит в редакционные коллегии многих международных научных журналов. Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/ARDC8c 4. Критерии оценки научных журналов в МНБД. Методика оценки научных журналов в Scopus 30 сентября 11.0013.00 В последние несколько лет особую актуальность приобрел вопрос включения российских журналов в международные индексы научного цитирования, что отвечает стратегической цели расширения присутствия России в Международной научной базе данных. . и особенно Скопус. Хотя критерии отбора источников для индексирования в Scopus широко известны среди академических издателей и редакторов, а система контроля качества контента становится все более сложной, некоторые аспекты отбора и индексирования все еще вызывают вопросы и требуют разъяснений. В ходе вебинара будут разъяснены критерии оценки журналов в Scopus, особенности заполнения формы самооценки www.readyforscopus.com (http://www.readyforscopus.com/), а также система контроля качества журналов, индексируемых в Scopus. . будет расширен. будет покрыто. Спикер: Якшонок Галина Петровна, консультант аналитической службы Elsevier S&T в России и Республике Беларусь. Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/fVSQPK 5. Критерии оценки научных журналов в МНБД. Инновации в системе оценки научных журналов и инструментов Web of Science. Международные издательские стандарты 3 октября 11.0013.00 На вебинаре будут обсуждаться обновленные критерии отбора журналов Web of Science, возможности работы с платформой Publons для рецензентов и редакторов журналов, а также современные инструменты для редакций журналов и научных организаций. . Это будет способствовать интеграции научных журналов в международную издательскую сферу. Первая часть вебинара будет посвящена критериям и процедурам отбора научных журналов для Web of Science. Каковы возможности и препятствия для создания современного международного научного журнала в России? Каковы шансы попадания российских журналов в ведущие базы международных научных изданий? Какие информационные инструменты могут использовать издатели и редакторы научных журналов? Будут рассмотрены следующие темы: * новая система критериев отбора научных журналов в ключевую базу данных Web of Science Core Collection * порядок отбора журналов в Web of Science Core Collection * рассмотрение показателей цитируемости научных журналов * доклад о результаты цитируемости научных журналов 2018 Цитирование журнала Где можно найти доклады * зарубежных рецензентов? – международная база рецензий научных изданий Publons * Российский индекс научного цитирования, база данных ведущих научных журналов России. Докладчик: Богоров Валентин Григорьевич, руководитель отдела образовательных программ Clarivate Analytics. Вторая часть вебинара будет посвящена интеграции в международное издательское пространство с использованием общедоступных технологий и сервисов. Он даст представление о преимуществах использования существующих сервисов, таких как платформа журнала, цифровые идентификаторы и репозиторий научных организаций, предназначенных для интеграции журнала в международную издательскую сферу, опишет их основные обязательные функции и объяснит, как работают сервисы. работа. Устранить имеющиеся трудности. Спикер: Митрофанов Максим Игоревич, руководитель партнерских программ NEICON, амбассадор DOAJ, амбассадор Crossref. Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/HGkrtG 6. Обзор научных статей 7 октября 11.0013.00 Первая часть вебинара будет посвящена обзору отечественных исследований. . Научная литература. Периодическая печать: практика и перспективы. Будут обсуждаться следующие темы: 1. Современное состояние процессов рецензирования статей в отечественных научных журналах. 1.1. Что такое научная экспертиза? Как трактуют это понятие редакторы отечественных научных журналов? 1.2. Положительные и отрицательные современные применения научных знаний. 1.3. Каким должно быть научное рецензирование в современном научном журнале? Проблема не в стандартах и правилах, а в научном здравом смысле. 2. Ожидания развития экспертной оценки в соответствии с общей трансформацией системы научных коммуникаций. 1.4. Открытая наука – открытый доступ – открытая экспертная оценка? 1,5. Оптимизация процессов рассмотрения как технологическая ИТ-задача. В конце вебинара будет обсуждаться простой и важный вопрос: Возможно ли развитие института рецензирования в отечественной научной литературе и, если возможно, как это развитие выглядит... Спикер: Арефьев Павел Геннадьевич, руководитель аналитического отдела научной электронной библиотеки eLibrary.ru. Во второй части вебинара будет обсуждаться опыт работы с рецензентами редактора ведущего международного химического журнала. Анна Ляшенко, старший редактор журнала Wiley's Chemistry – A European Journal, расскажет о качествах, которые делают кандидата подходящим рецензентом; перечислить обязанности рецензента; Поговорим об основных принципах написания конструктивного отзыва и этике отзыва. Вы также узнаете, как редактор принимает решение на основе двух противоположных отзывов. Нынешний редактор международного журнала приведёт примеры из своей восьмилетней трудовой жизни. Спикер: Анна Ляшенко, старший редактор Wiley. Регистрация на вебинар открыта: http://b66353.vr.mirapolis.ru/mira/s/. rhMbX0 Приглашаем Вас принять участие в Международной научно-практической конференции по итогам проекта «Поддержка программ поддержки развития научных журналов для включения их в международные наукометрические базы данных». Конференция пройдет с 21 октября. - До 23 октября 2019 г. в Москве (Конгресс-центр, гостиничный комплекс «Вега!»). Приглашаем главных редакторов научных журналов, директоров издательств, представителей организаций – учредителей научных журналов, руководителей издательских подразделений вузов и научных организаций. Подробная информация и возможность регистрации доступны на странице конференции: https://conf.neicon.ru/index.php/science/domestic0419/schedConf/overview Издательские услуги NEICON Научные журналы NEICON. Допечатная подготовка, печать и распространение научных журналов. Мы делаем: * Верстку (PDF и HTML) * Техническую редактуру * Корректуру * Литературное редактирование * Рендеринг * Переводы * Полиграфию * Рассылку * Подачу вопросов в РИНЦ * Регистрация DOI * И многое другое. Более. В портфолио издательства НЭИКОН на данный момент 15 журналов. За более подробной информацией об издательских услугах НЭИКОН обращайтесь к Максиму Митрофанову: mmi@elpub.ru +7 (916) 9158395 ======== = = = ============ = ==================== Авторские права © 2019 NEICON, Все права защищены. Данное письмо не требует ответа. Если у вас есть вопросы, пожалуйста, свяжитесь с контактом, указанным выше. Чтобы изменить настройки подписки, воспользуйтесь одной из ссылок: ** измените настройки подписки (https://neicon.us15.listmanage.com/profile?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e= 695398c2c8) или ** отмените подписку (https:/ /neicon .us15 .listmanage.com/unsubscribe?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e=695398c2c8&c=328a5a6891) .";другой;;;;;;;;;
"RE: Публикация статьи Добрый день. Скажите, вы получили статью? Ранее я отправил Вам письмо 4 сентября. ВИТЕНБУРГ Екатерина Александровна Ведущий инженер-проектировщик систем информационной безопасности группы проектирования систем информационной безопасности. Кафедра комплексных систем информационной безопасности. Отдел системной интеграции. ООО <ИК «РЕГИОНАЛЬНЫЕ СИСТЕМЫ» 400001, г. Волгоград, ул. Социалистическая, 17 тел.: +7 (800) 3332753 тел.: +7 (8442) 932753 (доб. 1325) моб.: +7 (937) 56056 75 Исходное сообщение От: ВИТЕНБУРГ Екатерина Александровна Размещено: 04.09.2019 14 : 28 Кому: «Вестник ВГУ» <csit@cs.vsu.ru Тема: RE: Публикация статьи Добрый день! Статья принята к публикации другим журналом, поэтому посылаю Вам еще одну статью в формате, соответствующем требованиям журнала. Проверьте время проверки. Если статья будет принята к публикации, когда она будет опубликована? Екатерина Александровна ВИТЕНБУРГ моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: понедельник, 2 сентября 2019 г., 1:34 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs. ru Тема: Re: Публикация статьи Уважаемые авторы! Редакция журнала ""Вестник ВГУ"" Серия Журнал САИТ, ФОРМАЛИЗОВАННАЯ МОДЕЛЬ ОЦЕНКИ БЕЗОПАСНОСТИ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ Левцова А.А., Витенбург Е.А. Статья подготовлена не в соответствии с действующими правилами журнала http://www.vestnik.vsu.ru /content/analiz/index_ru.asp, зайдите в раздел Авторы см. После внесения соответствующих изменений его можно отправить на рассмотрение. Генеральный секретарь журнала Вероника Викторовна Гаршина Среда, 24 июля 2019 09:30:56 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Скажите, можно ли опубликовать эту статью в вашем журнале? Каковы сроки рассмотрения и публикации материалов? С уважением, ВИТЕНБУРГ Екатерина Александровна мобильный телефон: +7(937)56056 75 электронная почта: e.vitenburg@ecrs.ru<mailto:e.vitenburg@ecrs.ru";Вопросы;;;;;;;;;
"Варианты ЛИКВИДАЦИИ ООО 5 вариантов ЛИКВИДАЦИИ ООО 1. Официальная ликвидация в ФНС = 27 т.р. (При оплате и госпошлине за рекламу в рассылке нет необходимости идти в ФНС и к нотариусу) 2. Официальная ликвидация с назначением нашего ликвидатора = 47 т.р. (бывший руководитель немедленно покидает свой пост) 3. Продажа компании нерезиденту РФ = 47 тр. (Полное отсутствие Ваших имен в ЕГРЮЛ, управляющий не находится на территории РФ) 4. Продажа компании гражданину РФ = 47 т.р. (Полное отсутствие Ваших имен в ЕГРЮЛ) 5. Продажа компании гражданину РФ + последующая официальная ликвидация ФНС = 74 т.р. (Полное отсутствие Вашего имени в заявлении и ликвидация на имя нового учредителя и управляющего) Все цены «под ключ» со всеми комиссиями и платежами. Все оригиналы юридических документов всегда остаются с вами; Мы ничего не забираем. Предоставляем подтверждение приема-передачи документов. Окончательный расчет по результату. Юридическая группа «ОБМЕННАЯ КОМПАНИЯ» Напишите нам любым способом; Полное описание каждого варианта мы вышлем вам в течение 5 минут. Телефон. +7(927)0058753 344556TLT@gmail.com Viber +7(927)0058753 WhatsApp+7(927)0058753 Telegram +7(927)0058753";другой;;;;;;;;;
Главный редактор ForwardedMessage.eml Добрый день! Посылаю вам информацию о вебинарах НЭИКОН, с которыми будет полезно ознакомиться редакторам наших журналов. Первый, 11 сентября, касается публикации обзоров в РИНЦ. С уважением, Хлопкова Е.С. Оригинал сообщения ниже.;другой;;;;;;;;;
"Научная статья из Курска! Привет! Он направил ценную статью «ИССЛЕДОВАНИЕ РАБОТЫ ОДНОФАЗНОГО СИНХРОННО-КОЛЕБАТЕЛЬНОГО МИКРОГЕНЕРАТОРА ДЛЯ БЕСПЕРЕБОЙНОГО ЭЛЕКТРОПИТАНИЯ АВТОНОМНЫХ ОБЪЕКТОВ» для публикации в журнале «Системный анализ и информационные технологии» в разделе «Математические методы системотехники». ». Инженерия». Анализ и управление». Поскольку наша последняя серия статей не включена, я хотел бы знать, есть ли у меня возможность выбрать нашу статью. Если не возражаете, можете рассказать, о чем речь? Спасибо вам с этого момента. Искренне; Каунг Мьят Хтоо. Кафедра Курского государственного университета (ПО и АИС).";Вопросы;;;;;;;;;
Ответ: Шапка Системный анализ действующего контракта ВСУ _2019_2.pdf 05.09.2019 12:02, Вестник ВГУ пишет: Екатерина Степановна, добрый день! Файл заказа содержит инструкции по заполнению контракта. Мое предложение: Публикация текущего научного издания в статье 2.9 включает должности главного редактора и заместителя главного редактора, а также ответственного секретаря и технического помощника (редактора) издания. Это почти всегда не специально выделенные сотрудники, а рядовые преподаватели и доценты, совмещающие эту работу с преподавательской и научной деятельностью. Именно эти сотрудники всех журналов ВГУ выполняют большую часть повседневной работы. Было бы справедливо, если бы это было учтено в эффективном контракте. С уважением, Гаршина В.В., доц. проф. кафе ТОЙЗИ, представитель. Секретарь журнала «Вестник ВГУ САИТ»;другой;;;;;;;;;
Ответ: Fwd: Действующий контракт ВСУ согласен, что вам от меня нужно? С уважением, Сирота А. 05.09.2019 13:02, Вестник ВГУ пишет: Каплиева Н.А. и И.В. Мы готовим действующий договор и решили сделать предложение на основе нашей работы в журнале. Правильно, я написал письмо в ES. Хлопкова, т. Н. М. Белизнякова. Он говорил с ОА. Козодеров. Поддержите ли вы это? исходное сообщение ниже;другой;;;;;;;;;
Ответ: действующий контракт ВГУ Вероника Викторовна, здравствуйте, обложка мне не нужна, она есть, я сделала свой шаблон, нужна распечатанная страница, вы можете сделать фото и отправить в WhatsApp или Viber Чт, 5 сентября , 2019, 13:11, Вестник ВГУ <csit@cs.vsu.ru: Наталья Алексеевна, добрый день! Мне прислали титульную страницу SAIT 22019, мне нужно подготовить PDF-файл. Я публикую это. Я предлагаю здесь дать нам возможность включить нашу работу в журнал с помощью эффективного контракта. Я попросил Хлопкову и Белизнякова поговорить с Козодеровым. Похоже, человек, который готовил инструкцию по заполнению договора, не очень понимает, кто чем занимается в процессе издания научного журнала. С уважением, Гаршина В.В. Исходное сообщение: Пересланное сообщение От: «Хлопкова Екатерина Степановна» <khlopkova@vsu.ru Кому: Вестник ВГУ <csit@cs.vsu.ru Копия: BSC: Дата: Чт, 5 сентября 2019 г. 12 :35:51 +0300 Тема: Ответ: Действующий контракт ВГУ 05.09.2019 12:02, Вестник ВГУ пишет: Екатерина Степановна, добрый день! Файл заказа содержит инструкции по заполнению контракта. Мое предложение: Публикация текущего научного издания в статье 2.9 включает должности главного редактора и заместителя главного редактора, а также ответственного секретаря и технического помощника (редактора) издания. Это почти всегда не специально выделенные сотрудники, а рядовые преподаватели и доценты, совмещающие эту работу с преподавательской и научной деятельностью. Именно эти сотрудники всех журналов ВГУ выполняют большую часть повседневной работы. Было бы справедливо, если бы это было учтено в эффективном контракте. С уважением, Гаршина В.В., доц. проф. кафе ТОЙЗИ, представитель. Секретарь журнала «Вестник ВГУ САИТ»;другой;;;;;;;;;
Ответ: PDF не могу, сканирование не работает. Своими руками из журнала. С уважением, ES 05.09.2019 21:00, Вестник ВГУ пишет: Екатерина Степановна! Отправьте сканированную копию страницы с отметкой 22019 в SAIT. С уважением, Гаршина В.В.;другой;;;;;;;;;
"RE: Публикация статьи Отлично! Большое спасибо. Екатерина Александровна ВИТЕНБУРГ моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: Пятница, 06 сентября 2019, 12:57 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs. ru Тема: Re: Публикация статьи Уважаемые авторы! Редакция журнала «Вестник ВГУ САИТ» взяла материалы из статьи МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ИНТЕЛЛЕКТУАЛЬНОЙ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ ПРИ ПРОЕКТИРОВАНИИ СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ С УЧЕТОМ МОНИТОРИНГА СОБЫТИЙ БЕЗОПАСНОСТИ. Статья отправлена на рецензирование (2 недели). Рецензируем статьи в номере 42019 (январь 2020 г.) Rep. Секретарь журнала Гаршина В.В. Ср, 4 сентября 2019 г. 10:27:40 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Статья принята к публикации другим журналом, поэтому посылаю Вам еще одну статью в формате, соответствующем требованиям журнала. Проверьте время проверки. Если статья будет принята к публикации, когда она будет опубликована? Екатерина Александровна ВИТЕНБУРГ моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: понедельник, 2 сентября 2019 г., 1:34 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs. ru Тема: Re: Публикация статьи Уважаемые авторы! Редакция журнала ""Вестник ВГУ"" Серия Журнал САИТ, ФОРМАЛИЗОВАННАЯ МОДЕЛЬ ОЦЕНКИ БЕЗОПАСНОСТИ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ Левцова А.А., Витенбург Е.А. Статья подготовлена не в соответствии с действующими правилами журнала http://www.vestnik.vsu.ru /content/analiz/index_ru.asp, зайдите в раздел Авторы см. После внесения соответствующих изменений его можно отправить на рассмотрение. Генеральный секретарь журнала Вероника Викторовна Гаршина Среда, 24 июля 2019 09:30:56 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Скажите, можно ли опубликовать эту статью в вашем журнале? Каковы сроки рассмотрения и публикации материалов? С уважением, ВИТЕНБУРГ Екатерина Александровна мобильный телефон: +7(937)56056 75 электронная почта: e.vitenburg@ecrs.ru<mailto:e.vitenburg@ecrs.ru";обзор;;;;;;;;;
"RE: Публикация статьи Добрый день. Опишите, пожалуйста, результаты рецензирования статьи. Информация содержится в письме ниже. С уважением, Екатерина Александровна ВИТЕНБУРГ Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: Пятница, 06 сентября 2019 г., 12:57 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs.ru Тема: Ответ: Публикация : статьи Уважаемые писатели! Редакция журнала «Вестник ВГУ САИТ» взяла материалы из статьи МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ИНТЕЛЛЕКТУАЛЬНОЙ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ ПРИ ПРОЕКТИРОВАНИИ СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ С УЧЕТОМ МОНИТОРИНГА СОБЫТИЙ БЕЗОПАСНОСТИ. Статья отправлена на рецензирование (2 недели). Рецензируем статьи в номере 42019 (январь 2020 г.) Rep. Секретарь журнала Гаршина В.В. Ср, 4 сентября 2019 г. 10:27:40 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Статья принята к публикации другим журналом, поэтому посылаю Вам еще одну статью в формате, соответствующем требованиям журнала. Проверьте время проверки. Если статья будет принята к публикации, когда она будет опубликована? Екатерина Александровна ВИТЕНБУРГ моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: понедельник, 2 сентября 2019 г., 1:34 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs. ru Тема: Re: Публикация статьи Уважаемые авторы! Редакция журнала ""Вестник ВГУ"" Серия Журнал САИТ, ФОРМАЛИЗОВАННАЯ МОДЕЛЬ ОЦЕНКИ БЕЗОПАСНОСТИ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ Левцова А.А., Витенбург Е.А. Статья подготовлена не в соответствии с действующими правилами журнала http://www.vestnik.vsu.ru /content/analiz/index_ru.asp, зайдите в раздел Авторы см. После внесения соответствующих изменений его можно отправить на рассмотрение. Генеральный секретарь журнала Вероника Викторовна Гаршина Среда, 24 июля 2019 09:30:56 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Скажите, можно ли опубликовать эту статью в вашем журнале? Каковы сроки рассмотрения и публикации материалов? С уважением, ВИТЕНБУРГ Екатерина Александровна мобильный телефон: +7(937)56056 75 электронная почта: e.vitenburg@ecrs.ru<mailto:e.vitenburg@ecrs.ru";Вопросы;;;;;;;;;
"ФВ: Публикую статью. Добрый день! Хотелось бы уточнить результаты рецензирования статьи. С уважением, ВИТЕНБУРГ Екатерина Александровна Главный инженер, аналитик и проектировщик отдела систем информационной безопасности отдела системной интеграции, проектировщик систем информационной безопасности группы проектирования систем информационной безопасности. ООО <ИК «РЕГИОНАЛЬНЫЕ СИСТЕМЫ» 400001, г. Волгоград, ул. Социалистическая, 17 тел.: +7 (800) 3332753 тел.: +7 (8442) 932753 (доб. 1325) моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено : Пятница, 06 сентября 2019, 12:57 Кому: ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru Тема: Ответ: Публикация статьи Уважаемые авторы! Редакция журнала «Вестник ВГУ САИТ» взяла материалы из статьи МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ИНТЕЛЛЕКТУАЛЬНОЙ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ ПРИ ПРОЕКТИРОВАНИИ СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ С УЧЕТОМ МОНИТОРИНГА СОБЫТИЙ БЕЗОПАСНОСТИ. Статья отправлена на рецензирование (2 недели). Рецензируем статьи в номере 42019 (январь 2020 г.) Rep. Секретарь журнала Гаршина В.В. Ср, 4 сентября 2019 г. 10:27:40 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Статья принята к публикации другим журналом, поэтому посылаю Вам еще одну статью в формате, соответствующем требованиям журнала. Проверьте время проверки. Если статья будет принята к публикации, когда она будет опубликована? Екатерина Александровна ВИТЕНБУРГ моб.: +7 (937) 56056 75 Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Отправлено: понедельник, 2 сентября 2019 г., 1:34 Кому: Екатерина Александровна ВИТЕНБУРГ <E.Vitenburg@ecrs. ru Тема: Re: Публикация статьи Уважаемые авторы! Редакция журнала ""Вестник ВГУ"" Серия Журнал САИТ, ФОРМАЛИЗОВАННАЯ МОДЕЛЬ ОЦЕНКИ БЕЗОПАСНОСТИ ИНФОРМАЦИОННОЙ СИСТЕМЫ ПРЕДПРИЯТИЯ Левцова А.А., Витенбург Е.А. Статья подготовлена не в соответствии с действующими правилами журнала http://www.vestnik.vsu.ru /content/analiz/index_ru.asp, зайдите в раздел Авторы см. После внесения соответствующих изменений его можно отправить на рассмотрение. Генеральный секретарь журнала Вероника Викторовна Гаршина Среда, 24 июля 2019 09:30:56 +0000 ВИТЕНБУРГ Екатерина Александровна <E.Vitenburg@ecrs.ru написала: Добрый день! Скажите, можно ли опубликовать эту статью в вашем журнале? Каковы сроки рассмотрения и публикации материалов? С уважением, ВИТЕНБУРГ Екатерина Александровна мобильный телефон: +7(937)56056 75 электронная почта: e.vitenburg@ecrs.ru<mailto:e.vitenburg@ecrs.ru";Вопросы;;;;;;;;;
Статья Азарнова, Полухина П.В. Статья. Вестник ВГУ.docx Вероника, добрый день! Посылаю Вам статью, написанную моим студентом (докторантом) для информационного бюллетеня. Татьяна Михайловна Леденева сказала, что даст нам обратную связь. С уважением, Азарнова ТВ.;подача статьи;;;;;;;;;
 Махортова Махортова-Лещинская.docx Здравствуйте, Вероника Викторовна! Статья прилагается... С уважением, СД.;подача статьи;;;;;;;;;
"Приглашаем вас в проект «Открытая наука России»! Откройте письмо в браузере (https://mailchi.mp/neicon.ru/qni4nkb6hd714503?e=695398c2c8) https://neicon.ru/ Уважаемые коллеги! Приглашаем вас в проект «Открытая наука России» (https://xn80afcdbalict6afooklqi5o.xnp1ai/public/application/item?id=1D41F625DA3848C583739654430C098C), поддержанный Фондом президентских грантов в 2019 году. «Открытая наука России» является продолжением и развитием проекта «Национальный агрегатор открытых репозиториев» (НОРА) (https://openrepository.ru). Сегодня НОРА объединяет уже 18 российских организаций. Оба проекта выполняются консорциумом НЭИКОН в партнёрстве с ведущими российскими университетами и исследовательскими институтами. В 2019–2020 годах будут решены следующие практические задачи: * Модернизация складов и платформы NORA в соответствии с новыми международными требованиями; * Пополнение российских складов и интеграция их ресурсов в глобальные открытые системы; * развитие новых услуг по технической поддержке и пополнению складов; * разработка новых сервисов для авторов; * Распространение проекта, повышение информационной и правовой грамотности целевых групп проекта. Преимущества вашего участия в проекте, подтвержденные опытом партнеров НОРА: * увеличение количества запросов на ваши складские ресурсы и расширение их географии за счет повышения их видимости в глобальном информационном пространстве; * увеличение использования и цитируемости публикаций учеными вашей организации за счет их размещения в глобальном поле зеленых публикаций открытого доступа; * экспортировать метаданные ресурсов вашего репозитория в международные каталоги и базы данных WorldCat, OpenAIRE, BASE (все настройки экспорта возьмет на себя NEICON); * резервирование и хранение ваших складских ресурсов на платформе NORA; * повысить информационную и юридическую грамотность сотрудников вашей организации за счет участия в мероприятиях проекта; * Организация проектных мероприятий на вашем объекте для непрерывного образования участников целевых групп проекта в вашем регионе. Участие в проекте бесплатное. В 2019–2020 годах НЭИКОН разработает для вас: * рекомендации по созданию метаданных в соответствии с современными международными стандартами и требованиями (План S); * Технологии переноса записей из Web of Science и Scopus в репозитории организаций-членов NORA; Мероприятия проекта «Российская открытая наука» пройдут во Владивостоке, Калининграде, Москве, Новосибирске, Санкт-Петербурге. Он пройдет в Санкт-Петербурге и Судаке. Условия подключения к платформе НОРА описаны на странице «Как подключиться»: https://openrepository.ru/connect Материалы прошедших семинаров публикуются в разделе «Мероприятия»: https://openrepository.ru/about /videozapiseminarov С опубликованными учебными материалами можно ознакомиться по следующей ссылке: https://openrepository.ru/about/metodicheskiematerialy Если у вас есть вопросы по участию в проекте, вы можете задать их в ответ на это письмо. Услуги для библиотек и научных учреждений В ответ на потребность научных учреждений в обеспечении доступа к результатам научных исследований НЭИКОН разработал услугу «Репозиторий информации научных учреждений». Репозиторий собирает данные о научных исследованиях организации и является единой точкой доступа к ним, позволяет управлять авторскими правами, экспортировать метаданные в российские и международные поисковые системы, повышает видимость и цитируемость работ (в том числе архивных). Более подробную информацию о сервисе «Репозиторий научной организации» вы можете узнать у Максима Митрофанова (mmi@elpub.ru). =============================================== ======================= = =========== === ========== Авторские права © 2019 НЭИКОН. Данное письмо не требует ответа. По всем вопросам обращайтесь к контактному лицу, указанному выше. Чтобы изменить настройки подписки, воспользуйтесь одной из ссылок: ** изменить настройки подписки (https://neicon.us15.listmanage.com/profile?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e=695398c2c8) или ** отписаться (https://neicon ).us15 .listmanage.com/unsubscribe?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e=695398c2c8&c=822b8108e0) .";другой;;;;;;;;;
