текст;категория
Статья о САИТ Академии ЕСН Рис. 1.tif, рис. 2.tif, рис. 3.tif, рис. 4.tif, рис. 5.tif, рис. 6. брюшной тиф, ст. ВСУ.docx Здравствуйте!!! Посылаю Вам статью из серии «Вестник ВГУ»: Анализ информационных систем и технологий. Пожалуйста примите к сведению. С уважением, Роман Власов.;презентация статьи
Ответ: Статья для ознакомления RecOrlov.docx Здравствуйте, Вероника Викторовна! Публикую рецензию на статью В. В. Орловой. С уважением, Сергей mailto:sborzunov@gmail.com Воскресенье, 9 июня 2019 г., 22:08, Вестник ВГУ <csit@cs.vsu.ru: Сергей! В редакцию поступила статья О НАЛИВКЕ ДЕРЕВЬЕВ, ВЫРАЩИВАЮЩИХСЯ С ИСТОЧНИКОМ, РАСПОЛОЖЕННЫМ У КОРНЯ. Пожалуйста, прочтите информационный бюллетень САИТ Орлов В.В. Добавил образец отзыва. С уважением, Гаршина В.В.;Пока мы не встретимся снова
Разместить статью Котов Ю.А., Санина О.В.docx Уважаемая редакция! Просим Вас рассмотреть возможность публикации нашей статьи «Значения некоторых частотных свойств английских текстов» в журнале «Вестник ВГУ». Серия: Информационные системы и технологический анализ» на кафедре компьютерной лингвистики и обработки естественного языка. Текст статьи прилагается. С уважением, Котов Юрий Алексеевич, кандидат технических наук, доцент кафедры информационной безопасности Новосибирского государственного технического университета. Санина Ольга Валерьевна Новосибирский государственный технический университет Информатика, аспирант 2 курса кафедры естественных наук;презентация статьи
Ответ: Статья в Вестнике ВГУ Здравствуйте! Статья отправлена на рассмотрение. Скажите пожалуйста, оно получено? С уважением, Екатерина Среда, 24 апреля 2019, 12:55 +03:00 От Екатерины Полицыной <kathrin.beaver@mail.ru: Здравствуйте! Отправляем статью в Вестник ВГУ на рецензирование. Архив с электронной версией статьи прилагается. С уважением, Екатерина;Запросы
Правильная статья_Задорожный, Семенов, Ульшин, Ножкин В.Г., Задорожный, М.Е. Семенов, И.И. Ульшин, vs. Ножкин_Системный анализ_ВСУ.doc Добрый вечер! Посылаю вам правильную версию статьи. Суббота, 15 июня 2019 г., 23.53 +15.00 Из сводки ВГУ <csit@cs.vsu.ru: Уважаемый Владимир Сергеевич! Статья МОДЕЛЬ ПРЕДВАРИТЕЛЬНЫХ ИЗМЕНЕНИЙ ВЛАЖНОСТИ ВОЗДУХА СО СТОХАСТИЧЕСКИМИ ПАРАМЕТРАМИ В.Г. Задорожного, М.Е. Семеновой, И.И. Ульшиной, В.С. Ножкиной принята к публикации в номере за 2019 год. К рисунку имеются примечания: формулы следует разделить на участки по 8 см, т.к. Журнал разделен на 2 рубрики. Убедитесь, что каждая формула должна быть введена как отдельный объект. В структуру статьи должны быть включены следующие разделы: анализ предыдущих исследований, материалы и методы исследования, результаты исследования и их обсуждение, см. правила для редакции http://www.vestnik.vsu ru/content/analiz/ Rules_ru.pdf представитель-секретарь журнала «Гаршина В.В.» Среда, 20 марта 2019 г. 19:13:21 +0300 Владимир Ножкин <nozhkinv@list.ru написал: Добрый вечер, Вероника Викторовна! Извините, я отправлю вам статью. С уважением, Владимир Ножкин! С уважением, Владимир Ножкин!;пересмотр
МНТК 2019 Воронеж «Актуальные проблемы прикладной математики, информатики и механики» Newsletter.pdf Уважаемый коллега! Приглашаем Вас принять участие в международной научно-технической конференции «Актуальные проблемы прикладной математики, информатики и механики», которая пройдет с 11 по 13 ноября 2019 года на факультете прикладной математики, информатики и механики Воронежского государственного университета. Университет. . . . Для участия в конференции необходимо до 30 сентября 2019 года подать доклад через сайт конференции, приложить скан-копию оплаты оргвзноса и заполнить регистрационную форму http://www.vsu.ru/. конф. /index.php?page=Регистрация. Предварительная регистрация на конференцию не требуется. Пожалуйста, обратите внимание на правила подготовки отчета http://www.amm.vsu.ru/conf/index.php?page=PravilaOformlMaterials. Условия оплаты регистрационного взноса представлены на сайте http://www.amm.vsu.ru/conf/index.php?page=PravilaUplatyOrganizVznosov. Все принятые доклады будут опубликованы в электронном хранилище научных трудов конференции и индексированы в РИНЦ. Электронному сборнику научных трудов будет присвоен международный книжный номер ISBN. Обращаем ваше внимание, что тексты докладов, представленные в Программный комитет, будут отобраны для публикации в зарубежном научном журнале, индексируемом в Web of Science и/или Scopus. Если будет предложено опубликовать, вы будете уведомлены. Важный! Для публикации статей в этих изданиях необходимо лично присутствовать на конференции. Более подробную информацию можно получить на сайте конференции http://www.amm.vsu.ru/conf/index.php или у оргкомитета AMCSMconf@amm.vsu.ru. С уважением, Оргкомитет.;другой
Тема: статьи Горин, Афанасьевский Рецензия Дубатовская.doc, Вестник ВГУ_Дубатовская_docx.docx Оставим эту тему для следующего номера. С уважением, Сирота А. 14.06.2019 21:09, Вестник ВГУ пишет: Уважаемый Александр Анатольевич! Прикрепленные статьи 1) Л.Б. Афанасьевский, А.Н. Горин, М.А. Чурсин «ИМИТАЦИОННОЕ МОДЕЛИРОВАНИЕ ПОЛУМАРКОВСКИХ ПРОЦЕССОВ В ДИСКРЕТНЫХ И НЕПРЕРЫВНЫХ СИСТЕМАХ» 2) Л.Б. Афанасьевский, А.Н. Горин, М.А. Чурсин «СИСТЕМА УПРАВЛЕНИЯ С ПРИМЕНЕНИЕМ КОМПЬЮТЕРНОГО МОДЕЛИРОВАНИЯ В MATLAB+SIMULINK ОПРЕДЕЛЕНИЕ СРЕДЫ» » ПАРАМЕТРЫ УСТРОЙСТВА УПРАВЛЕНИЯ ОБЩИЕ » + отзывы. P/SI предоставил авторам отзывы о дизайне и в настоящее время рецензирует статьи. Гаршина;Пока мы не встретимся снова
Ответ[2]: Статьи с расширенным описанием Gorin_Статьи для Вероники Викторовны_180619.rar Здравствуйте, Вероника Викторовна! Посылаю Вам еще один вариант исправленного проекта статьи. У меня предложение: замените длинное название статьи на более короткое. Я добавил новое имя в папку. С уважением, Александр Горен. Пятница, 14 июня 2019, 22.44 +15.00 Из сводки ВГУ <csit@cs.vsu.ru: Александр Николаевич! По плану необходимые структурные элементы статьи включают: аннотацию, вводный раздел с подразделом анализа результатов предыдущих исследований, раздел о материалах и методах исследования (теоретический раздел), раздел по теме. . . результаты исследований и обсуждения, заключительная глава и библиография. Конспекты объемом не менее 150 слов на русском и английском языках (у вас 90 слов). Ширина бланка, включая номер бланка, не должна превышать 82,5 мм (ширина столбца печатной области). Количество изображений не должно превышать 5. (Некоторые изображения можно преобразовать в формулы) В формулах каждая формула должна быть записана как отдельный объект. Ежедневные правила включены. С уважением, Гаршина В.В. Пятница, 14 июня 2019 г. 21:09:11 +0300 Горин Александр <algorin.algoral@mail.ru написал: Здравствуйте Вероника Викторовна! Посылаю Вам черновики статей с исправлениями, которые мне удалось внести. Требования к дизайну я получил с сайта журнала. К сожалению, мне не удалось найти макет второго упомянутого вами выпуска в формате pdf. Вероятно, здесь понадобится ваша помощь. С уважением, Александр Горен Александр Горен;пересмотр
"Ответ[2]: Прошу рассмотреть статью «Автоматическое рабочее место руководителя оперативной группы Центра кризисного управления (АРМ начальника ОДС ТГУКС)» к публикации. УВАЖАЕМАЯ РЕДАКЦИЯ ЖУРНАЛА «Вестник ВГУ». Серия: Анализ информационных систем и технологий»! Может быть, уже есть результаты от изучения моей статьи? С уважением, Александр E-mail: pal_300353@mail.ru Skype: popoval300353 Понедельник, 10 июня 2019 г., 1:14 +03:00 Из бюллетеня ВГУ < csit@cs.vsu.ru: Уважаемый автор! О результатах статьи рецензента доложит генеральный секретарь журнала «Системный анализ и информационные технологии». Может быть решение было принято на основании моей статьи? С уважением, Александр E-mail: pal_300353@mail.ru Skype: popoval300353 Вторник, 14 мая 2019 г., 18:18 +15:00 От Александра < pal_300353@mail.ru: УВАЖАЕМЫЙ РЕДАКТОР ЖУРНАЛА «Вестник ВГУ. Серия: Анализ информационных систем и технологий»! Прошу рассмотреть возможность публикации статьи ""Автоматическое рабочее место руководителя оперативной группы Центра кризисного управления (АРМ начальника ОДС ЦуКС)"" (в прикрепленных файлах, включая фотографии). Тематический раздел: Интеллектуальные информационные системы. Жду вашего решения и совета. С уважением, Александр E-mail: pal_300353@mail.ru Skype: popoval300353.";Запросы
Статья в «Вестнике» с кратким заголовком title.txt, Статья_Тихомиров_Авцинов.docx, Статья_Тихомиров_Авцинов.pdf, Рисунок 1.png, Рисунок 3.png, Рисунок 2.png Здравствуйте, уважаемая редакция! Мы отправляем нашу статью на оценку для публикации. Название: АППАРАТНО-ПРОГРАММНЫЙ КОМПЛЕКС УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ С ИСПОЛЬЗОВАНИЕМ ИНТЕЛЛЕКТУАЛЬНЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ. Сокращенное наименование: ПРОГРАФ. УЗЕЛ УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКОЙ СИСТЕМОЙ. Авторы: С.Г. Тихомиров, И.А. Авцинов, Я.А. Туровский, А.С. Суровцев, А.А. Адаменко С уважением, Александр Суровцев.;презентация статьи
"Ответ: Краткое название статьи в ""Вестнике"".txt, Статья_Тихомиров_Авцинов.pdf, Статья_Тихомиров_Авцинов.docx, Рис.3.png, Рис.1.png, Рис.2.png Уважаемая редакция! Список авторов исправлен. Название: АППАРАТНО-ПРОГРАММНЫЙ КОМПЛЕКС УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ С ИСПОЛЬЗОВАНИЕМ ИНТЕЛЛЕКТУАЛЬНЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ. Сокращенное наименование: ПРОГРАФ. УЗЕЛ УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКОЙ СИСТЕМОЙ. Авторы: С.Г. Тихомиров, И.А. Авцинов, Я.А. Туровский, А.С. Суровцев, А.А. Адаменко, Е.Н. Ковалева. С уважением, Александр Суровцев. Среда, 19 июня 2019 года, 14.16, Александр Суровцев < alexander.surovtsev.vrn@gmail.com: Здравствуйте, уважаемая редакция! Мы отправляем нашу статью на оценку для публикации. Название: АППАРАТНО-ПРОГРАММНЫЙ КОМПЛЕКС УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ С ИСПОЛЬЗОВАНИЕМ ИНТЕЛЛЕКТУАЛЬНЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ. Сокращенное наименование: ПРОГРАФ. УЗЕЛ УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКОЙ СИСТЕМОЙ. Авторы: С.Г. Тихомиров, И.А. Авцинов, Я.А. Туровский, А.С. Суровцев, А.А. Адаменко С уважением, Александр Суровцев.";пересмотр
Публикация в журнале Добрый день! Расскажите, пожалуйста, как подать статью к публикации. Спасибо. С уважением, Михаил Иванович.;Запросы
Ответ[2]: Статья в «Вестнике ВГУ» Вероника Викторовна, спасибо! С уважением, Екатерина. Среда, 19 июня 2019 г., 19:21 +15:00 Из сводки ВГУ csit@cs.vsu.ru: Екатерина! Статья получена, рассмотрена и принята в номер за 2019 год. Проект находится в разработке. С уважением, Гаршина В.В. 17 июня 2019 16:02:42 +0300 Екатерина Полицына <kathrin.beaver@mail.ru написала: Здравствуйте! Статья отправлена на рассмотрение. Скажите пожалуйста, оно получено? С уважением, Екатерина Среда, 24 апреля 2019, 12:55 +03:00 От Екатерины Полицыной <kathrin.beaver@mail.ru: Здравствуйте! Отправляем статью в Вестник ВГУ на рецензирование. Архив с электронной версией статьи прилагается. С уважением, Екатерина;готов к публикации
Доброе утро! Я учусь в магистратуре ИрГАУ. Я хотел бы опубликовать статью в вашем журнале «Вестник ВГУ». Серия: Системный анализ и информационные технологии», но я не стал искать на сайте презентацию автора этого обзора. Можете ли вы прислать мне заявление автора? Спасибо!;Запросы
Ответ: Статья в информационном бюллетене является результатом возможности открытой публикации. JPG, со ссылкой на мандат министерства. JPG Здравствуйте, уважаемая редакция! К письму прилагаются отрывок заседания кафедры и заключение о возможности открытой публикации. С уважением, Александр Суровцев Среда, 19 июня 2019 г., 15:16, Александр Суровцев < alexander.surovtsev.vrn@gmail.com: Уважаемая редакция! Список авторов исправлен. Название: АППАРАТНО-ПРОГРАММНЫЙ КОМПЛЕКС УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ С ИСПОЛЬЗОВАНИЕМ ИНТЕЛЛЕКТУАЛЬНЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ. Сокращенное наименование: ПРОГРАФ. УЗЕЛ УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКОЙ СИСТЕМОЙ. Авторы: С.Г. Тихомиров, И.А. Авцинов, Я.А. Туровский, А.С. Суровцев, А.А. Адаменко, Е.Н. Ковалева. С уважением, Александр Суровцев. Среда, 19 июня 2019 года, 14.16, Александр Суровцев < alexander.surovtsev.vrn@gmail.com: Здравствуйте, уважаемая редакция! Мы отправляем нашу статью на оценку для публикации. Название: АППАРАТНО-ПРОГРАММНЫЙ КОМПЛЕКС УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ С ИСПОЛЬЗОВАНИЕМ ИНТЕЛЛЕКТУАЛЬНЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ. Сокращенное наименование: ПРОГРАФ. УЗЕЛ УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКОЙ СИСТЕМОЙ. Авторы: С.Г. Тихомиров, И.А. Авцинов, Я.А. Туровский, А.С. Суровцев, А.А. Адаменко С уважением, Александр Суровцев.;другой
"ПроНАКОН нет. 3/2019 (май-июнь) Открыть письмо в браузере (https://mailchi.mp/neicon.ru/qni4nkb6hd654771?e=695398c2c8) https://neicon.ru/ Редакция №. 8 (май) - июнь 2019) Новый номер журнала «Наука и научная информация» Вышел в свет второй номер журнала «Наука и научная информация» за 2019 год. Приглашаем вас ознакомиться с текстами статей в открытом доступе. на сайте журнала (https://www.neiconjournal.com/jour/issue/view/3/showToc). Продолжается регистрация на 7-ю Международную конференцию НЭИКОН «Электронные научно-образовательные ресурсы: создание, продвижение и использование», которая пройдет на Крите (https://conf.neicon.ru/index.php/science/overseas2019/schedConf/guestRegistration). ) 22 - В Ретимно (Крит, Греция) с 29 сентября 2019 года. Подробная информация на странице конференции: https://conf.neicon.ru/index.php/science/overseas2019 Приглашенные докладчики: Винсент Ларивьер, профессор Университета Монреаль, эксперт в области библиометрии, научных коммуникаций и научной политики. Директор Канадской кафедры исследований в области трансформации научных коммуникаций. Научный руководитель издательской платформы «Эрудит», заместитель научного директора Наблюдательного совета по научно-техническим вопросам и член Межвузовского центра научных и технологических исследований. Автор более 100 научных статей в области библиометрии и научной коммуникации. Недавнее исследование (Nature, 2018) изучает влияние открытого доступа на издательскую политику авторов. Кэссиди Сугимото — профессор Университета Индианы в Блумингтоне и ведущий эксперт в области наукометрии и информатики, научной политики и научных коммуникаций. Автор более 100 научных статей в области наукометрии и научной коммуникации. Президент Международного общества наукометрики и информметрики (ISSI). Директор программы Национального научного фонда (США) в области научной политики и инноваций (Science and Innovation Policy program of the National Science Foundation). Открыта регистрация на международную научно-практическую конференцию по итогам Московского проекта «Поддержка программ научного развития» (https://conf.neicon.ru/index.php/science/domestic0419/schedConf/overview). включена в международную базу данных наукометрии» Конференция пройдет в Москве (Конгресс-центр Гостиничный комплекс «Вега») с 21 по 23 октября 2019 года. Приглашенный докладчик: Ларс Бьёрнхауг, генеральный директор DOAJ, член совета директоров Ассоциации открытого доступа «Академических издательств» 15 июня 2019 года сотрудники НЭИКОН приняли участие в международном профессиональном форуме «Книга» и представили 10 докладов по образованию» («Крым2019»). .gpntb.ru/win/interevents/crimea2019/). 12 июня 2019 года в рамках международного профессионального форума «Книга. Культура. Образование. Инновации» («Крым2019») (http://www.gpntb.ru/win/interevents/crimea2019/) состоялся очередной День НЭИКОН («День НЭИКОН» — специальный семинар перед конференцией НЭИКОН на острове КРИТ) В этом году совпавший с Днем НЭИКОН России традиционно собирает активную и высокопрофессиональную аудиторию видных российских и зарубежных специалистов в области научных знаний. Программа Дня НЭИКОН 2019 включала 16 докладов, доступных на сайте НЭИКОН (https://neicon.ru/). ru) После оживленного обсуждения было решено включить две наиболее обсуждаемые темы в программу конференции НЭИКОН на острове Крит (https://conf.neicon.ru/index.php/science/.overside2019: отношение к открытому доступу и культуре создания и согласования открытой ценовой политики российскими поставщиками информации). /direktcbhe.com/) «Развитие межрегионального информационного менеджмента для непрерывного образования и экономики знаний. В рамках стипендии программы ERASMUS+ Европейского Союза. В проекте участвуют 15 университетов из 8 стран (https://direktcbhe.com/partners/). На данный момент разработано семь модулей и подобраны материалы курса по информационной грамотности, доступные на сайте проекта по ссылке: https://direktcbhe.com/activities/ Санкт-школа НЭИКОН в Санкт-Петербурге с 20 до 20. 24 мая 2019 г. НЭИКОН и Российский государственный педагогический университет. искусственный интеллект Герцен, ул. Организация очередной весенней школы НЭИКОН (https://neicon.ru/ru/news/501vesennyayashkolaneikonvsanktpeterburge) в Санкт-Петербурге. Это удачно совпало с периодом белых ночей Петербурга. Ежегодная школа НЭИКОН в Санкт-Петербурге проводится в рамках реализации дополнительной программы повышения квалификации: «Стратегия эффективного использования электронных ресурсов и наукометрических инструментов в современной образовательной и научной деятельности» (https://lib.herzen .ru/p/programma_pk_neicon)» и объединяет участников со всех регионов России. Подробная информация о мероприятии 2019 года, ссылка на фотоальбом и программа со ссылками на выступления спикеров опубликованы на сайте основной библиотеки. имени Императрицы Марии Федоровны (https://lib.herzen.spb.ru/news)/) выставка /450 в Томске прошла с 27 по 29 мая 2019 года на базе лекционной школы Томского национального исследовательского университета. и упражнения входят в программу повышения квалификации Национального исследовательского ТГУ: «Современные библиотечные и информационные технологии для научной и образовательной деятельности». Школа НЭИКОН2019 собрала более 50 участников (http://www.lib.tsu.ru/ru/news/shkolaneikonsobralabolee50uchastnikov) из Москвы, Саратова, Екатеринбурга, Тольятти, Сургута, Новосибирска и Томска. Круглый стол Комитета по образованию и науке Государственной Думы и общественные слушания о свободном доступе в Президиуме Российской академии наук. 16 мая 2019 года сотрудники НЭИКОН приняли участие в открытых заседаниях на тему «Современные тенденции и прогнозы развития мирового научного и информационного пространства», состоявшихся в Президиуме РАН в Москве. Предложение НЭИКОН о необходимости разработки политики открытого доступа для РФ, представленное на круглом столе Комитета по образованию и науке Госдумы «Совершенствование системы научных публикаций в РФ», вошло в проект рекомендация. Комитет Министерства науки и высшего образования Российской Федерации. 42-я ежегодная конференция и выставка UKSG Сотрудники NEICON посетили 42-ю ежегодную конференцию и выставку UKSG: Телфорд (https://www.uksg.org/event/conference19) в штаб-квартире Telford International с 8 по 10 апреля 2019 года (Англия). Ежегодно конференция UKSG собирает около 1000 делегатов, представляющих библиотекарей, издателей и поставщиков контента со всего мира. Конференцию поддерживают ведущие мировые издатели и поставщики, включая EBSCO, ACS Publications, Королевское химическое общество, SAGE Publishing, Cambridge University Press, Association for Computing Machinery, Gale International Limited, IOP Publishing, AIP Publishing, Burgundy Information Services. . . , JoVE, Annual Reviews, Oxford University Press и многих других организаций, с которыми NEICON имеет давние и успешные отношения. По итогам встреч и переговоров приняли участие Американское общество инженеров-механиков (ASME (http://asme.org/), GEOSCIENCEWORLD (http://www.geoscienceworld.org/), Общество промышленных и прикладных технологий. NEICON Mathematics (в сотрудничестве с SIAM (https://www.siam.org/), Trans Tech Publications Ltd (https://www.scientific.net/)) Организации-члены NEICON: доступ к журналу испытаний открыт до конца Июнь на платформе Scientific Net (https://neicon.ru/ru/testing/102sitestructure/resursyneykon/zarubezhnyeresursy/502transtechpublicationsltd Подробную информацию можно найти здесь (https). ://neicon.ru/ru/testing/102sitostructure/resursyneyikon /). Научно-практический семинар в ВолГТУ Представители НЭИКОН приняли участие в научно-практическом семинаре «Образовательные информационные технологии – 2019», организованном ЭБС «Лань», компанией «Антиплагиат» и «Ассоциацией производителей и пользователей электронной техники». образовательные ресурсы». При поддержке НЭИКОН и Корпорации ЭЛАР. В Волгоградском государственном техническом университете участники семинара обсудили: современные технологии компьютерного образования; разнообразие и репертуар электронных ресурсов и их использование в университетском образовательном процессе; Комплексное информационное обеспечение университета: работа с внешними и внутренними источниками научной информации; Инновационные алгоритмы используются для обнаружения кредитов и предотвращения искусственно завышенного процента оригинальности. Книги на платформе JSTOR JSTOR провел вебинар для организаций-членов NEICON, посвященный книгам на платформе JSTOR. Участники вебинара узнали о высококачественном программном контенте, модели доступа без DRM и различных моделях закупок, включая закупки на основе спроса (DDA), закупки на основе действий (EBA) и возможности экономии. Вы можете получить доступ к записи вебинара по следующей ссылке: https://attendee.gotowebinar.com/recording/2036773121028979201. Слайды на русском языке представлены здесь (https://yadi.sk/d/MMF__H53AWeRA). Вебинар по Lean Library Lean Library (https://www.leanlibrary.com/) (подразделение SAGE Publishing) NEICON и Санкт-Петербургский государственный университет провели вебинар, на котором обсуждались лучшие практики и решения для библиотечной среды, находящейся в постоянном развитии. потребности конечных пользователей. На семинаре был представлен новый сервис Plugin Lean Library, позволяющий осуществлять прямой доступ к сайтам издателей и агрегаторов, ресурсы которых находятся в электронной подписке организации, и доступ всем желающим в любое время и в любом месте. Мир. Мир. Подробная информация о Бережливой библиотеке опубликована на сайте НЭИКОН (https://neicon.ru/ru/resources/foreign/102sitestructure/resursyneykon/zarubezhnyeresursy/508). Вы можете получить доступ к записи вебинара по адресу: https://wetransfer.com/downloads/4ae8deb87b14c106db42f94f7cc2acf420190612123329/2c1568842827074621c7d5a516a81f3120190612123329/fea8c3/ NORA B Project In В 2019 году Фонд президентских грантов поддержал проект «Открытая наука России», представленный . НП НЕЙКОН «В рамках проекта планируется улучшение технических возможностей платформы НОРА (поддержка версионирования загружаемых документов, расширение полей метаданных, разработка внешнего API для платформы, интеграция с платформой антиплагиата). ). ), а также индексирование материалов NORA в агрегаторе CORE и включение архивов участников проекта в OpenDOAR. Кроме того, после оценки качества метаданных в архивах участников будут разработаны рекомендации по улучшению качества публикуемых документов. метаданные В рамках проекта Владивосток, Новосибирск, Санкт-Петербург. Мероприятия запланированы в Санкт-Петербурге и Судаке. COAR 21 23 мая 2019 года проект NORA был представлен в ходе семинара по техническим и стратегическим вопросам развития архивных сетей в рамках 10-й ежегодной конференции COAR (https://www.coarrepositories) Конфедерации доступа в архивы. . орган). /) проходил в Лионе, Франция. В конференции приняли участие представители 40 стран. Программа конференции и презентации спикеров доступны в открытом доступе по следующей ссылке: https://coar2019.sciencesconf.org/resource/page/id/1 https://elpub.ru/ На ELPUB размещено 340 журналов. Платформа. Журнал «Фармация и фармакология» принят в Scopus. Журнал «Известия Национальной академии наук Беларуси. Серия сельскохозяйственных наук» была принята ESCI. ДОАЖ принимал издания «Менеджмент», «Акушерство, гинекология и репродукция», «Эпилепсия и пароксизмальные заболевания», «Фармакоэкономика». Современная фармакоэкономика и фармакоэпидемиология. Журнал «Русский язык в школе» принят в ДОАЖ. ЭРИХ https://elpub.ru/crossref Нанят на должность техподдержки Crossref на русском языке. Для получения консультации отправьте запрос в редакцию НЭИКОН по адресу https://elpub.ru/paperversion. НЭИКОН предлагает научным журналам полный спектр услуг по допечатной подготовке, печати и распространению научных журналов. Выполняем: * Верстку (PDF и HTML) * Техническую редактуру * Корректуру * Литературную редактуру * Рендеринг * Переводы * Полиграфию * Рассылку. Отправка номеров в РИНЦ *Регистрация DOI* И многое другое. В портфолио издательства НЭИКОН на данный момент 15 журналов. Более подробную информацию о редакционных услугах НЭИКОН можно получить по адресу: mmi@elpub.ru +7 (916) 9158395. Услуги. для библиотек и научных учреждений В ответ на потребность научных организаций в обеспечении доступа к результатам научных исследований НЭИКОН разработал организацию научных услуг «Репозиторий». Репозиторий собирает данные о научных исследованиях организации и обеспечивает единую точку доступа, позволяет управлять авторскими правами, экспортировать метаданные в российские и международные поисковые системы, повышает видимость и цитируемость работ (в том числе из архивов). Более подробную информацию о сервисе «Архив научной организации» можно узнать у Максима Митрофанова (mmi@elpub.ru). =============================================== ===================== == = =========== === ========= = = ========= = == = ========= Copyright © 2019 НЭИКОН. Это письмо не требует ответа. Если у вас есть какие-либо вопросы, пожалуйста, свяжитесь с контактом, указанным выше. Чтобы изменить настройки подписки, воспользуйтесь одной из ссылок: ** измените настройки подписки (https://neicon.us15.listmanage.com/profile?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e=695398c2c8) или ** отмените подписку ( https:// / / neicon.us15.listmanage.com/unsubscribe?u=2c05011f3410534b027ad66a4&id=9aaefa47fa&e=695398c2c8&c=7522dadb9d).";другой
Статья в номере «Анализ информационных систем и технологий» ЯдароваТаратухин.zip Уважаемая редакция журнала «Вестник ВГУ». Серия: Анализ информационных систем и технологий»! Обратите внимание на статью (прилагается) о качестве систем Интернета вещей. С уважением, Юлия Ядгарова.;презентация статьи
Совет специалиста Здравствуйте, Вероника Викторовна! Высылаю Вам экспертные мнения по статьям. С уважением, Александр Горен.;другой
Статья Самойлова fig6.jpg, fig2.jpg, fig5.jpg, fig4.jpg, fig3.jpg, fig1.jpg, Менеджер нечетких запросов для базы данных Mongo v3.docx, Менеджер нечетких запросов для базы данных Mongo v3.pdf С уважением, Николай Самойлов;презентация статьи
